ALS_conservative;Zentrumspartei;Zentrumspartei;Zentrumspartei;;;;;;;;;;;
ALS;Elsass;;;;;;;;;;;;;
ALS_fascist;NSDP;NSDP;NSDP;;;;;;;;;;;
ALS_liberal_2;Nationalliberale ;Nationalliberale ;Nationalliberale ;;;;;;;;;;;
ALS_liberal;Liberaldem. Partei;Liberaldem. Partei;Liberaldem. Partei;;;;;;;;;;;
ALS_reactionary;Nationale Partei;Nationale Partei;Nationale Partei;;;;;;;;;;;
ALS_socialist;Deutscher Arbeiterverein;Deutscher Arbeiterverein;Deutscher Arbeiterverein;;;;;;;;;;;
ALT_absolute_monarchy;Altai Union;;;;;;;;;;;;;
ALT_ADJ;Altaic;;;;;;;;;;;;;
ALT;Altai Republic;;;;;;;;;;;;;
ALT_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
ALT_communist;The Communists;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
ALT_conservative;The Conservatives;Faction royale;Kˆnigsfraktion;;;;;;;;;;;
ALT_fascist;The Mongolian Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
ALT_hms_government;Altai Union;;;;;;;;;;;;;
ALT_liberal;The Liberals;Faction libÈrale;Die liberale Fraktion;;;;;;;;;;;
ALT_prussian_constitutionalism;Altai Union;;;;;;;;;;;;;
ALT_reactionary;The Khanate Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
ALT_socialist;The Socialists;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
ANG_ADJ;Angolan;;;;;;;;;;;;;
ANG_anarcho_liberal;Radical-Liberal Party of Angola;;;;;;;;;;;;;
ANG;Angola;;;;;;;;;;;;;
ANG_communist;MPLA;;;;;;;;;;;;;
ANG_conservative;FNLA;;;;;;;;;;;;;
ANG_fascist;Fascist Party of Angola;;;;;;;;;;;;;
ANG_liberal;Liberal Democratic Party;;;;;;;;;;;;;
ANG_reactionary;UNITA;;;;;;;;;;;;;
ANG_socialist;Social Renewal Party;;;;;;;;;;;;;
ANI_absolute_monarchy;Antillean Empire;Empire of Antillia;Empire of Antillia;;Empire of Antillia;;;;;;;;;
ANI_ADJ;Antillean;Antillean;Antillean;;Antillean;;;;;;;;;
ANI;Antilles Confederation;Republic of Antillia;Republic of Antillia;;Republic of Antillia;;;;;;;;;
ANI_bourgeois_dictatorship;Antillean Republic;Pirates of the Caribbean;Pirates of the Caribbean;Pirates of the Caribbean;;;;;;;;;x ;
ANI_fascist_dictatorship;Antillean Republic;the Black Isles;the Black Isles;;the Black Isles;;;;;;;;;
ANI_presidential_dictatorship;Antillean Republic;Republic of Antillia;Republic of Antillia;;Republic of Antillia;;;;;;;;;
ANI_proletarian_dictatorship;Antillean Republic;the Red Indies;the Red Indies;;the Red Indies;;;;;;;;;
ANT_ADJ;Antiguan;;;;;;;;;;;;;
ANT;Antigua;;;;;;;;;;;;;
AOT_ADJ;Maori;Maori;Maori;;;;;;;;;;;
AOT_anarcho_liberal;Mana Maori Motuhake;Mana Maori Motuhake;Mana Maori Motuhake;;;;;;;;;;;
AOT;Aotearoa;Aotearoa;Aotearoa;;;;;;;;;;;
AOT_communist;Toputanga-a-iwi;Toputanga-a-iwi;Toputanga-a-iwi;;;;;;;;;;;
AOT_conservative;Kingitanga;Kingitanga;Kingitanga;;;;;;;;;;;
AOT_fascist;Kawanatanga Whakahawini;Kawanatanga Whakahawini;Kawanatanga Whakahawini;;;;;;;;;;;
AOT_liberal;Ropu o te Rangatahi;Ropu o te Rangatahi;Ropu o te Rangatahi;;;;;;;;;;;
AOT_reactionary;Kauhanganui;Kauhanganui;Kauhanganui;;;;;;;;;;;
AOT_socialist;Ratana;Ratana;Ratana;;;;;;;;;;;
ARA_ADJ;Arabian;;;;;;;;;;;;;
ARA_anarcho_liberal;Al Anarkiliberali;;;;;;;;;;;;;
ARA;Arabia;;;;;;;;;;;;;
ARA_communist;Al Shiu'i;;;;;;;;;;;;;
ARA_conservative;Al Muhafidh;;;;;;;;;;;;;
ARA_fascist;Al Fashi;;;;;;;;;;;;;
ARA_liberal;Al Mutaharir;;;;;;;;;;;;;
ARA_reactionary2;Al Rashid;;;;;;;;;;;;;
ARA_reactionary;Al Sa'ud;;;;;;;;;;;;;
ARA_socialist;Al Ishtiraki;;;;;;;;;;;;;
ARC_ADJ;Argentinian;;;;;;;;;;;;;
ARC;Argentina;;;;;;;;;;;;;
ARC_democracy;Argentine Confederation;;;;;;;;;;;;;
ARC_presidential_dictatorship;Argentine Confederation;;;;;;;;;;;;;
ARC_proletarian_dictatorship;Communist Federation of Argentina;;;;;;;;;;;;;
ARC_reactionary;Sociedad Popular Restauradora;;;;;;;;;;;;;
ARM_communist;Hayastani Komunistakan Kusaktsutyun;;;;;;;;;;;;;x;;;;
ARM_liberal_2;Hai Zhoghovrdakan Kusaktsutiun;;;;;;;;;;;;;x;;;;
ARO_ADJ;Aro;Aro;Aro;;;;;;;;;;;
ARO_anarcho_liberal;Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
ARO;Aro;Aro;Aro;;Aro;;;;;;;;;
ARO_bourgeois_dictatorship_ADJ;Biafran;Biafraise;Biafran;;biafreÒo;;;;;;;;;
ARO_bourgeois_dictatorship;Biafra;Biafra;Biafra;;Biafra;;;;;;;;;
ARO_communist;Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
ARO_conservative;Eze Aro Faction;Faction Eze Aro;Eze Aro Fraktion;;;;;;;;;;;
ARO_democracy_ADJ;Biafran;Biafraise;Biafran;;biafreÒo;;;;;;;;;
ARO_democracy;Biafra;Biafra;Biafra;;Biafra;;;;;;;;;
ARO_fascist_dictatorship_ADJ;Biafran;Biafraise;Biafran;;biafreÒo;;;;;;;;;
ARO_fascist_dictatorship;Biafra;Biafra;Biafra;;Biafra;;;;;;;;;
ARO_fascist;Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
ARO_liberal;Reform Faction;Faction de rÈforme;Verbesserung Fraktion;;;;;;;;;;;
ARO_presidential_dictatorship_ADJ;Biafran;Biafraise;Biafran;;biafreÒo;;;;;;;;;
ARO_presidential_dictatorship;Biafra;Biafra;Biafra;;Biafra;;;;;;;;;
ARO_proletarian_dictatorship_ADJ;Biafran;Biafraise;Biafran;;biafreÒo;;;;;;;;;
ARO_proletarian_dictatorship;Biafra;Biafra;Biafra;;Biafra;;;;;;;;;
ARO_reactionary;Empire Faction;Faction d'empire;Reich Fraktion;;;;;;;;;;;
ARO_socialist;Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
ARU_ADJ;Arabic;;;;;;;;;;;;;
ARU;Arab Union;;;;;;;;;;;;;
ARU_bourgeois_dictatorship;Arab Republic;;;;;;;;;;;;;
ARU_democracy;United Arab States;;;;;;;;;;;;;
ARU_fascist_dictatorship;Arab Republic;;;;;;;;;;;;;
ARU_presidential_dictatorship;Arab Republic;;;;;;;;;;;;;
ARU_proletarian_dictatorship;Arab People's Republic;;;;;;;;;;;;;
ASH_ADJ;Ashanti;Ashanti;Aschanti;;;;;;;;;;;
ASH_anarcho_liberal;Progress Party;;;;;;;;;;;;;
ASH;Ashanti;Ashanti;Aschanti;;Asantia;;;;;;;;;
ASH_communist;Convention People's Party;;;;;;;;;;;;;
ASH_conservative_2;National Liberation Movement;;;;;;;;;;;;;
ASH_conservative;Royal Faction;Faction royale;Kˆnigsfraktion;;;;;;;;;;;
ASH_fascist;Popular Front Party;;;;;;;;;;;;;
ASH_liberal_2;United Gold Coast Convention;;;;;;;;;;;;;
ASH_liberal;Reform Faction;Faction de rÈforme;Verbesserung Fraktion;;;;;;;;;;;
ASH_reactionary_2;National Liberation Council;;;;;;;;;;;;;
ASH_reactionary;Empire Faction;Faction d'empire;Reich Fraktion;;;;;;;;;;;
ASH_socialist;Ghana Congress Party;;;;;;;;;;;;;
ASM_ADJ;Assamese;;;;;;;;;;;;;
ASM_anarcho_liberal;The Radical Faction;;;;;;;;;;;;;
ASM;Assam;;;;;;;;;;;;;
ASM_bourgeois_dictatorship;Assamese Republic;;;;;;;;;;;;;
ASM_communist;The Communist Faction;;;;;;;;;;;;;
ASM_conservative;Royal Faction;;;;;;;;;;;;;
ASM_fascist_dictatorship;Assamese Republic;;;;;;;;;;;;;
ASM_fascist;The Fascist Faction;;;;;;;;;;;;;
ASM_liberal;The Liberal Faction;;;;;;;;;;;;;
ASM_presidential_dictatorship;Assamese Republic;;;;;;;;;;;;;
ASM_reactionary;The Nationalist Faction;;;;;;;;;;;;;
ASM_socialist;The Socialist Faction;;;;;;;;;;;;;
ASR_absolute_monarchy_ADJ;Idrisi;;;;;;;;;;;;;
ASR_ADJ;Asiri;;;;;;;;;;;;;
ASR_anarcho_liberal;Al Anarkiliberali;;;;;;;;;;;;;
ASR;Asir;;;;;;;;;;;;;
ASR_communist;Al-Hizb al-Shuyui al-Urduni;;;;;;;;;;;;;
ASR_conservative;Hizb al-Wasat al-Islami;;;;;;;;;;;;;
ASR_fascist;Hizb al-Mustaqbal;;;;;;;;;;;;;
ASR_hms_government_ADJ;Idrisi;;;;;;;;;;;;;
ASR_liberal;Yasari-d-al-Dimaqrati al-Urduni;;;;;;;;;;;;;
ASR_prussian_constitutionalism_ADJ;Idrisi;;;;;;;;;;;;;
ASR_reactionary;Hizb al-Hashemiyya al-Urduni;;;;;;;;;;;;;
ASR_socialist;Hizb al-Baath al-Ishtiraki al-Urduni;;;;;;;;;;;;;
AST_fascist;New Guard;;;;;;;;;;;;;
ASY_ADJ;Assyrian;;;;;;;;;;;;;
ASY;Assyria;;;;;;;;;;;;;
ASY_fascist_dictatorship_ADJ;Aramaic;;;;;;;;;;;;;
ASY_fascist_dictatorship;Aramaea;;;;;;;;;;;;;
ATC_ADJ;Antillean;;;;;;;;;;;;;
ATC;Antillean Confederation;;;;;;;;;;;;;
ATJ;Aceh;;;;;;;;;;;;;
ATJ_ADJ;Acehnese;;;;;;;;;;;;;
ATR_ADJ;Asturian;Asturien;Asturisch;;Asturiano;;;;;;;;;
ATR_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;
ATR;Asturias;Asturias;Asturias;;Asturias;;;;;;;;;
ATR_communist;FederaciÛn Regional;FederaciÛn Regional;FederaciÛn Regional;;;;;;;;;;;
ATR_conservative;Partido Moderado;Partido Moderado;Partido Moderado;;;;;;;;;;;
ATR_fascist;Falange;Falange;Falange;;;;;;;;;;;
ATR_liberal;Partido Progresista;Partido Progresista;Partido Progresista;;;;;;;;;;;
ATR_reactionary;ComuniÛn Carlista;ComuniÛn Carlista;ComuniÛn Carlista;;;;;;;;;;;
ATR_socialist;Partido Socialista;Partido Socialista;Partido Socialista;;;;;;;;;;;
AUS_communist;Kommunistische Partei ÷sterreichs;;;;;;;;;;;;;
AUS_fascist;Vaterl‰ndische Front;;;;;;;;;;;;;
AUS_socialist_3;Sozialdemokratische Arbeiterpartei;;;;;;;;;;;;;x;;;;
AWS_ADJ;Afar;Afar;Afar;;;;;;;;;;;
AWS_anarcho_liberal;Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
AWS;Aussa;;;;;;;;;;;;;
AWS_communist;Afar Communist Party;Afar Parti communiste;Afar Kommunistischen Partei;;;;;;;;;;;
AWS_conservative;Sultan's Faction;Faction Sultan;Sultan Fraktion;;;;;;;;;;;
AWS_fascist;Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
AWS_liberal;Reformers Faction;Faction rÈformateurs;Reformatoren Fraktion;;;;;;;;;;;
AWS_reactionary;Military Faction;Faction militaire;Milit‰rische Fraktion;;;;;;;;;;;
AWS_socialist;Afar People's Party;Afar Parti populaire;Afar Volkspartei;;;;;;;;;;;
AZA_ADJ;Zande;Zande;Zande;;;;;;;;;;;
AZA_anarcho_liberal;Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
AZA;Azande;Azande;Azande;;Azande;;;;;;;;;
AZA_communist;Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
AZA_conservative;Royal Faction;Faction royale;Kˆnigsfraktion;;;;;;;;;;;
AZA_fascist;Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
AZA_liberal;Reform Faction;Faction de rÈforme;Verbesserung Fraktion;;;;;;;;;;;
AZA_reactionary;Empire Faction;Faction d'empire;Reich Fraktion;;;;;;;;;;;
AZA_socialist;Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
baguirmi;Maban;;;;;;;;;;;;;
BAH_ADJ;Bahian;;;;;;;;;;;;;
BAH_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;
BAH;Bahia;;;;;;;;;;;;;
BAH_communist;Partido Communist;Partido communiste;Partido Communist;;;;;;;;;;;
BAH_conservative_2;Partido Paulista;Partido Paulista;Partido Paulista;;;;;;;;;;;
BAH_conservative;Partido Conservador;Partido Conservador;Partido Conservador;;;;;;;;;;;
BAH_fascist;Partido Fascist;Partido fasciste;Partido Fascist;;;;;;;;;;;
BAH_liberal_2;Partido Carioca;Partido Carioca;Partido Carioca;;;;;;;;;;;
BAH_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;;;;;;;;;;
BAH_reactionary;Partido Caramuru;Partido Caramuru;Partido Caramuru;;;;;;;;;;;
BAH_socialist;Partido Socialist;Partido socialiste;Partido Socialist;;;;;;;;;;;
BAN_ADJ;Banati;;;;;;;;;;;;;
BAN_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
BAN;Banat;;;;;;;;;;;;;
BAN_communist;Communist Party;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
BAN_conservative;Deutsche Partei;;;;;;;;;;;;;
BAN_democracy;Banat Republic;;;;;;;;;;;;;
BAN_fascist;Deutsche Volkspartei;;;;;;;;;;;;;
BAN_liberal;Liberal Party;Faction libÈrale;Die liberale Fraktion;;;;;;;;;;;
BAN_reactionary;The Royalist Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
BAN_socialist;Banat Sozialdemokratische Partei;;;;;;;;;;;;;
BAR_ADJ;Barbadian;;;;;;;;;;;;;
BAR;Barbados;;;;;;;;;;;;;
BAY_reactionary;Ultramontanismus Faction;;;;;;;;;;;;;
BDK_absolute_monarchy;Kunduz;;;;;;;;;;;;;
BDK_ADJ;Badakhshani;;;;;;;;;;;;;
BDK;Badakhshan;;;;;;;;;;;;;
BDN_ADJ;Hakkari;;;;;;;;;;;;;
BDN;Hakkari;;;;;;;;;;;;;
BEL_anarcho_liberal;Parti libertaire;;;;;;;;;;;;;
BEL_communist;Parti communiste de Belgique;;;;;;;;;;;;;
BEL_conservative_2;Christene Volkspartij;;;;;;;;;;;;;
BEL_conservative_3;Meetingpartij;;;;;;;;;;;;;
BEL_conservative;Parti catholique;;;;;;;;;;;;;
BEL_fascist;Parti rexiste;;;;;;;;;;;;;
BEL_liberal;Parti libÈral;;;;;;;;;;;;;
BEL_reactionary;Parti statiste;;;;;;;;;;;;;
BEL_socialist;Parti ouvrier belge;;;;;;;;;;;;;
BEN_ADJ;Beninese;BÈninois;Benin;;;;;;;;;;;
BEN_anarcho_liberal;Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
BEN;Benin;BÈnin;Benin;;BenÌn;;;;;;;;;
BEN_communist;Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
BEN_conservative;Oba's Faction;Faction Obo;Oba Fraktion;;;;;;;;;;;
BEN_fascist;Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
BEN_liberal;Reform Faction;Faction de rÈforme;Verbesserung Fraktion;;;;;;;;;;;
BEN_reactionary;Military Faction;Faction militaire;Milit‰rische Fraktion;;;;;;;;;;;
BEN_socialist;People's Faction;Faction populaire;Volk Fraktion;;;;;;;;;;;
BHM_ADJ;Bahamian;;;;;;;;;;;;;
BHM;Bahamas;;;;;;;;;;;;;
BHP_ADJ;Punjabi;;;;;;;;;;;;;
BHP;Bahawalpur;;;;;;;;;;;;;
BHR_ADJ;Bahraini;;;;;;;;;;;;;
BHR_anarcho_liberal;Al Anarkiliberali;;;;;;;;;;;;;
BHR;Bahrain;;;;;;;;;;;;;
BHR_communist;Al-Hizb al-Shuyui al-Urduni;;;;;;;;;;;;;
BHR_conservative;Hizb al-Wasat al-Islami;;;;;;;;;;;;;
BHR_fascist;Hizb al-Mustaqbal;;;;;;;;;;;;;
BHR_liberal;Yasari-d-al-Dimaqrati al-Urduni;;;;;;;;;;;;;
BHR_reactionary;Hizb al-Hashemiyya al-Urduni;;;;;;;;;;;;;
BHR_socialist;Hizb al-Baath al-Ishtiraki al-Urduni;;;;;;;;;;;;;
BHT_ADJ;Bohtani;;;;;;;;;;;;;
BHT;Bohtan;;;;;;;;;;;;;
BIH_ADJ;Bihari;;;;;;;;;;;;;
BIH_anarcho_liberal;Bihari Radical Party;;;;;;;;;;;;;
BIH;Bihar;;;;;;;;;;;;;
BIH_communist;Bihari Communist Party;;;;;;;;;;;;;
BIH_conservative;Lok Janshakti Party;;;;;;;;;;;;;
BIH_fascist;Bihari Fascist Party;;;;;;;;;;;;;
BIH_liberal;Samata Party;;;;;;;;;;;;;
BIH_proletarian_dictatorship;Bihari People's Republic;;;;;;;;;;;;;
BIH_reactionary;Bihar Vikas;;;;;;;;;;;;;
BIH_socialist;Janata Dal;;;;;;;;;;;;;
BKF_ADJ;Voltaic;;;;;;;;;;;;;
BKF_anarcho_liberal;Voltaic Progressive Union;;;;;;;;;;;;;
BKF_communist;Voltaic Communist Organization;;;;;;;;;;;;;
BKF_conservative;Voltaic Union;;;;;;;;;;;;;
BKF_fascist;Rejectors Front;;;;;;;;;;;;;
BKF_liberal;UNDD;;;;;;;;;;;;;
BKF_reactionary;UDV-RDA;;;;;;;;;;;;;
BKF_socialist;Voltaic Democratic Movement;;;;;;;;;;;;;
BKF;Upper Volta;;;;;;;;;;;;;
BKV_ADJ;Bukovinian;;;;;;;;;;;;;
BKV_anarcho_liberal;Partidul Radical;;;;;;;;;;;;;x;;;;
BKV;Bukovina;;;;;;;;;;;;;
BKV_communist;Partidul Comunist;;;;;;;;;;;;;x;;;;
BKV_conservative;Partidul Democrat al Unirei;;;;;;;;;;;;;x;;;;
BKV_fascist;Partidul Fascist;;;;;;;;;;;;;x;;;;
BKV_liberal;Partidul Taranesc Democrat;;;;;;;;;;;;;x;;;;
BKV_reactionary;Partidul Nationalist;;;;;;;;;;;;;x;;;;
BKV_socialist;Partidul Socialist;;;;;;;;;;;;;x;;;;
BLC_ADJ;Baluchi;;;;;;;;;;;;;
BLC;Baluchistan;;;;;;;;;;;;;
BLZ_ADJ;Belizean;;;;;;;;;;;;;
BLZ;Belize;;;;;;;;;;;;;
BNB_ADJ;Babani;;;;;;;;;;;;;
BNB;Baban;;;;;;;;;;;;;
BNG_absolute_monarchy_ADJ;Bengali;;;;;;;;;;;;;
BNG_absolute_monarchy;Bengal;;;;;;;;;;;;;
BNG_ADJ;Bangladeshi;;;;;;;;;;;;;
BNG_anarcho_liberal;The Radical Faction;;;;;;;;;;;;;
BNG;Bangladesh;;;;;;;;;;;;;
BNG_communist;Bengali Communist Party;;;;;;;;;;;;;
BNG_conservative;Awami League;;;;;;;;;;;;;
BNG_fascist;Jatiya Party;;;;;;;;;;;;;
BNG_hms_government_ADJ;Bengali;;;;;;;;;;;;;
BNG_hms_government;Bengal;;;;;;;;;;;;;
BNG_liberal;Liberal Democratic Party;;;;;;;;;;;;;
BNG_proletarian_dictatorship;Bengali People's Republic;;;;;;;;;;;;;
BNG_prussian_constitutionalism_ADJ;Bengali;;;;;;;;;;;;;
BNG_prussian_constitutionalism;Bengal;;;;;;;;;;;;;
BNG_reactionary;Jamaat-e-Islami;;;;;;;;;;;;;
BNG_socialist;Jatiyo Samajtantrik Dal;;;;;;;;;;;;;
BOH_anarcho_liberal;The Radical Faction;;;;;;;;;;;;;x;;;;
BOH_communist;Komunistick· strana Ceska;;;;;;;;;;;;;x;;;;
BOH_conservative;N·rodnÌ strana;;;;;;;;;;;;;x;;;;
BOH_fascist;Vlajka;;;;;;;;;;;;;x;;;;
BOH_liberal;N·rodnÌ strana svobodomysln·;;;;;;;;;;;;;x;;;;
BOH_reactionary;Katolicko-n·rodne konzervativnÌ strana;;;;;;;;;;;;;x;;;;
BOH_socialist;Cesk· strana soci·lne demokratick·;;;;;;;;;;;;;x;;;;
BRA_ADJ;Brunswicker;;;;;;;;;;;;;
BRA;Brunswick;;;;;;;;;;;;;
BRD_ADJ;Burundian;Burundaise;Burundische;;;;;;;;;;;
BRD_anarcho_liberal;Abanyamajambere Party;;;;;;;;;;;;;
BRD;Burundi;Burundi;Burundi;;Burundi;;;;;;;;;
BRD_communist;Burundi Workers' Party;;;;;;;;;;;;;
BRD_conservative;Country Democratic Union;;;;;;;;;;;;;
BRD_fascist;People's Union of Burundi;;;;;;;;;;;;;
BRD_liberal;APRODEBA;;;;;;;;;;;;;
BRD_reactionary;Union for National Progress;;;;;;;;;;;;;
BRD_socialist;Rural Democratic Party;;;;;;;;;;;;;
BRM_ADJ;Baguirmi;;;;;;;;;;;;;
BRM;Baguirmi;;;;;;;;;;;;;
BRT_ADJ;Breton;;;;;;;;;;;;;
BRT_anarcho_liberal;Strollad Radical;;;;;;;;;;;;;
BRT;Brittany;;;;;;;;;;;;;
BRT_communist;Strollad Komunist;;;;;;;;;;;;;
BRT_conservative;Strollad Mirour;;;;;;;;;;;;;
BRT_fascist;PNB;;;;;;;;;;;;;
BRT_liberal;Strollad Liberal;;;;;;;;;;;;;
BRT_reactionary;Strollad Broadelour;;;;;;;;;;;;;
BRT_socialist;Unvaniezh Demokratel;;;;;;;;;;;;;
BRU_ADJ;Bruneian;;;;;;;;;;;;;
BRY_ADJ;Buryat;;;;;;;;;;;;;
BRY_anarcho_liberal;The Radical Faction;;;;;;;;;;;;;
BRY;Buryatia;;;;;;;;;;;;;
BRY_communist;The Communist Faction;;;;;;;;;;;;;
BRY_conservative;Royal Faction;;;;;;;;;;;;;
BRY_fascist;The Fascist Faction;;;;;;;;;;;;;
BRY_liberal;The Liberal Faction;;;;;;;;;;;;;
BRY_reactionary;The Nationalist Faction;;;;;;;;;;;;;
BRY_socialist;The Socialist Faction;;;;;;;;;;;;;
BRZ_absolute_monarchy;The Empire of Brazil;;;;;;;;;;;;;
BRZ_anarcho_liberal;Partido Anarquista;;;;;;;;;;;;;
BRZ_communist;Partido Comunista;;;;;;;;;;;;;
BRZ_conservative_2;Partido Republicano Paulista;;;;;;;;;;;;;
BRZ_conservative;Partido Conservador;;;;;;;;;;;;;
BRZ_fascist;AÁ„o Integralista Brasileira;;;;;;;;;;;;;
BRZ_hms_government;The Empire of Brazil;;;;;;;;;;;;;
BRZ_liberal_2;Partido Republicano Carioca;;;;;;;;;;;;;
BRZ_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;Partido Liberal;;;;;;;;;
BRZ_monarchy;Empire of Brazil;;;;;;;;;;;;;
BRZ_prussian_constitutionalism;The Empire of Brazil;;;;;;;;;;;;;
BRZ_reactionary2;Partido Republicano Riograndense;;;;;;;;;;;;;
BRZ_reactionary;Partido Restaurador;;;;;;;;;;;;;
BRZ_socialist;Partido Socialista;;;;;;;;;;;;;
BSH_absolute_monarchy;Basotho;;;;;;;;;;;;;
BSH_ADJ;Basotho;Basotho;Basotho;;;;;;;;;;;
BSH_anarcho_liberal;Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
BSH_communist;Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
BSH_conservative;Royal Faction;Faction royale;Kˆnigsfraktion;;;;;;;;;;;
BSH_fascist;Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
BSH;Lesotho;;;;;;;;;;;;;
